"Channel_ID","Channel_Name","Channel_Views","Channel_Subscriptions","Channel_Vids"
"UCFUC7NaTxZanB_FVOJN92eg","Red Ice TV","39031858","241367","1838"
"UCZeP6H2mELnRI9imY5Iga0g ","Ayla Stewart Wife With A Purpose","592990","11395","202"
"UCl3RCEtooHD5bhPCHJw3btA ","Tree Of Logic","5530595","73692","172"
"UCdf14z6V0MWNeVcbAz0r8wQ ","Mark Collett","4321032","49443","119"
"UCOtFVJUoek4TKZAaeQVhiLA","Bre Faucheux","421179","0","47"
"UC0rZoXAD5lxgBHMsjrGwWWQ ","Styxhexenhammer666","105796583","285747","3682"
"UCLfhh63n0fWn0gXXKQ5NWvw ","Millennial Woes","7894343","50838","866"
"UC9vwJXx7DR-3zSub4mwQNFg","Tara McCarthy","289354","51060","11"
"UC6wdP5hTf_phre6Q3kFiV2g","Tommy Robinson","11189864","251663","38"
"UCKEt1xKVBLuL175dkk8rqLg","Mouthy Buddha","6614034","111367","74"
"UCLJkNhB1Eg_mXx0quUju0Og ","That Guy T","5712457","101122","133"
"UCctjGdm2NlMNzIlxz02IsXA ","Chris Ray Gun","75956490","549675","317"
"UCAgBUlIpzlJaE0693J3s97w ","Baked Alaska","931508","29578","12"
"UC2h3yPmh9TfQv2z3aTDTHHA ","Andywarski","42330527","261024","558"
"UClMWnUHbxJKJLUgloN1mPUA","Faith J Goldy","2300798","72618","36"
"UCAldq8BAAGdsX9UyK_09-ZA ","Jeff Holiday","6409192","85812","271"
"UCpbyOgUSjTSPpvVUAT2OyHw","Blonde in the Belly of the Beast","6355870","108056","130"
"UCesrUK_dMDBZAf7cnjQPdgQ","Brittany Pettibone","5797438","101005","120"
"UCIZBXVGIJoJMXf8giib0IiQ","James Allsup","39660085","325302","122"
"UCG749Dj4V2fKa143f8sE60Q ","Tim Pool","35286497","209197","804"
"UC-yewGHQbNFpDrGM0diZOLA ","Sargon of Akkad","245923234","849974","966"
"UCr_Q-bPpcw5fJ-Oow1BW1NQ","Kraut","5657377","103747","48"
"UC8RJExf7iNpV6tp6hvNtwww ","Vee","25679855","93461","2088"
"UCFpvg5yg5fMda91yiI1owSQ","Caolan Robertson","674331","16487","4"
"UCsJ86N5n7fcEC_Ds8dYJKzA","America First with Nicholas J Fuentes","1571562","18284","247"
"UCmrLCXSDScliR7q8AxxjvXg ","Black Pigeon Speaks","47045725","389286","252"
"UC5tEELgWBfKbA9fVPRzBzPQ","Coach Red Pill","6550864","93086","280"
"UC7e57qWIEAZTQAaFwHpKdlw","SomeBlackGuy","32021432","356464","289"
"UCDmCBKaKOtOrEqgsL4-3C8Q","Blaire White","52023262","474247","101"
"UCL_f53ZEJxp8TtlOkHwMV9Q ","Jordan B Peterson","71062916","1470367","337"
"UCzQUP1qoWDoEbmsQxvdjxgQ ","PowerfulJRE","821471055","3539082","2076"
"UCJdKr0Bgd_5saZYqLCa9mng ","The Rubin Report","178379474","830428","1839"
"UC554eY5jNUfDq3yDOJYirOQ ","Destiny","39607513","123200","1369"
"UCla6APLHX6W3FeNLc8PYuvg","Lauren Southern","51201028","646907","136"
"UCC3L8QaxqEGUiBC252GHy3w ","Stefan Molyneux","249906871","858978","2906"
"UCLUrVTVTA3PnUFpYvpfMcpg","Roaming Millennial","23037442","298387","156"
"UCowcNKm1w2GGw5U_XQeduhg ","Jean-Francois Gariépy","3027879","40995","212"
"UCka_dz0F1gYuvN8LTefNcJQ","Bunty King","1486750","68195","129"
"UCxXUQuvoiIAlpM2osoAitjQ ","mundanematt","84612227","146602","4704"
"UC0aVoboXBUx2-tVIWHc3W2Q ","MILO","124918221","822207","788"
"UCT9D87j5W7PtE7NHOR5DUOQ ","Computing Forever","78448623","338322","1477"
"UCittVh8imKanO_5KohzDbpg ","Paul Joseph Watson","319797520","1386862","655"
"UC87YBeLMwXhgaw5tcCxsXgQ ","Mike Cernovich","1009742","68674","100"
"UCfYbb7nga6-icsFWWgS-kWw","Mister Metokur","40131038","269938","117"
"UCZNk7Jjb2t8EuBdgn4Zj1cw","No Bullshit","83705903","466055","529"
"UCHnP4h7CkxDtQXV-kEGS9FA","CRTV","16253946","147353","407"
"UCIveFvW-ARp_B_RckhweNJw ","StevenCrowder","541361111","2600449","766"
"UCnQC_G5Xsjhp9fEJKuIcrSw","Ben Shapiro","22883615","292245","617"
"UCZWlSUNDvCCS1hBiXV0zKcA ","PragerU","478133290","1698672","452"
"UCyQsQSKayfcZoHaCjqxxSlg ","Owen Benjamin","22268548","154684","742"
"UCL0u5uz7KZ9q-pe-VC8TY-w","Candace Owens","7896532","253109","25"
"UCr4kgAUTFkGIwlWSodg43QA","Michael Knowles","50773","1518","253"
"UCyhEZKz-LOwgktptEOh6_Iw","The Andrew Klavan Show","1682032","6640","467"
"UCMLbmp5tcLxzahMLTmeM4lg ","American Renaissance","8836132","82270","157"
