"V1","V2","freq"
"Andrew Klavan","Andy Warski",11
"Andrew Klavan","Ben Shapiro",31
"Andrew Klavan","Black Pigeon Speaks",10
"Andrew Klavan","Blaire White",1
"Andrew Klavan","Blonde in the Belly of the Beast",11
"Andrew Klavan","Bre Faucheux",2
"Andrew Klavan","Brittany Pettibone",8
"Andrew Klavan","Bunty King",1
"Andrew Klavan","Candace Owens",1
"Andrew Klavan","Chris Ray Gun",3
"Andrew Klavan","Coach Red Pill",2
"Andrew Klavan","Computing Forever",16
"Andrew Klavan","Dave Rubin",16
"Andrew Klavan","Dennis Prager",22
"Andrew Klavan","Destiny",1
"Andrew Klavan","Gavin McInness",10
"Andrew Klavan","James Allsup",5
"Andrew Klavan","Jared Taylor",5
"Andrew Klavan","Jeff Holiday",3
"Andrew Klavan","JF Gariepy",1
"Andrew Klavan","Joe Rogan",6
"Andrew Klavan","Jordan Peterson",11
"Andrew Klavan","Lauren Southern",3
"Andrew Klavan","Mark Collett",2
"Andrew Klavan","Michael Knowles",5
"Andrew Klavan","Mike Cernovich",7
"Andrew Klavan","Millennial Woes",2
"Andrew Klavan","Milo Yiannopoulos",14
"Andrew Klavan","Mouthy Buddha",2
"Andrew Klavan","Mundane Matt",9
"Andrew Klavan","Nicholas Fuentes",1
"Andrew Klavan","No Bullshit",10
"Andrew Klavan","Owen Benjamin",17
"Andrew Klavan","Paul Joseph Watson",7
"Andrew Klavan","Roaming Millenial",2
"Andrew Klavan","Sargon of Akkad",14
"Andrew Klavan","Some Black Guy",7
"Andrew Klavan","Stefan Molyneaux",23
"Andrew Klavan","Steven Crowder",31
"Andrew Klavan","Styxhexenhammer666",14
"Andrew Klavan","That Guy T",2
"Andrew Klavan","Tim Pool",9
"Andrew Klavan","Tommy Robinson",1
"Andrew Klavan","Tree of Logic",8
"Andrew Klavan","Vee",7
"Andy Warski","Andrew Klavan",5
"Andy Warski","Baked Alaska",113
"Andy Warski","Ben Shapiro",245
"Andy Warski","Black Pigeon Speaks",526
"Andy Warski","Blaire White",231
"Andy Warski","Blonde in the Belly of the Beast",365
"Andy Warski","Bre Faucheux",157
"Andy Warski","Brittany Pettibone",277
"Andy Warski","Bunty King",409
"Andy Warski","Candace Owens",25
"Andy Warski","Caolan Robertson",14
"Andy Warski","Chris Ray Gun",515
"Andy Warski","Coach Red Pill",381
"Andy Warski","Computing Forever",1172
"Andy Warski","Dave Rubin",790
"Andy Warski","Dennis Prager",274
"Andy Warski","Destiny",358
"Andy Warski","Faith Goldy",65
"Andy Warski","Gavin McInness",260
"Andy Warski","James Allsup",437
"Andy Warski","Jared Taylor",282
"Andy Warski","Jeff Holiday",889
"Andy Warski","JF Gariepy",789
"Andy Warski","Joe Rogan",166
"Andy Warski","Jordan Peterson",292
"Andy Warski","Kraut and Tea",345
"Andy Warski","Lauren Southern",285
"Andy Warski","Mark Collett",253
"Andy Warski","Michael Knowles",6
"Andy Warski","Mike Cernovich",101
"Andy Warski","Millennial Woes",510
"Andy Warski","Milo Yiannopoulos",1227
"Andy Warski","Mister Metokur",432
"Andy Warski","Mouthy Buddha",239
"Andy Warski","Mundane Matt",1244
"Andy Warski","Nicholas Fuentes",288
"Andy Warski","No Bullshit",902
"Andy Warski","Owen Benjamin",421
"Andy Warski","Paul Joseph Watson",544
"Andy Warski","Roaming Millenial",509
"Andy Warski","Sargon of Akkad",1533
"Andy Warski","Some Black Guy",1179
"Andy Warski","Stefan Molyneaux",645
"Andy Warski","Steven Crowder",718
"Andy Warski","Styxhexenhammer666",880
"Andy Warski","Tara McCarthy",39
"Andy Warski","That Guy T",481
"Andy Warski","Tim Pool",1151
"Andy Warski","Tommy Robinson",60
"Andy Warski","Tree of Logic",586
"Andy Warski","Vee",1041
"Andy Warski","Wife With a Purpose",49
"Baked Alaska","Andy Warski",122
"Baked Alaska","Ben Shapiro",16
"Baked Alaska","Black Pigeon Speaks",32
"Baked Alaska","Blaire White",6
"Baked Alaska","Blonde in the Belly of the Beast",26
"Baked Alaska","Bre Faucheux",13
"Baked Alaska","Brittany Pettibone",22
"Baked Alaska","Bunty King",11
"Baked Alaska","Caolan Robertson",2
"Baked Alaska","Chris Ray Gun",6
"Baked Alaska","Coach Red Pill",22
"Baked Alaska","Computing Forever",25
"Baked Alaska","Dave Rubin",43
"Baked Alaska","Dennis Prager",13
"Baked Alaska","Destiny",34
"Baked Alaska","Faith Goldy",3
"Baked Alaska","Gavin McInness",17
"Baked Alaska","James Allsup",27
"Baked Alaska","Jared Taylor",46
"Baked Alaska","Jeff Holiday",17
"Baked Alaska","JF Gariepy",71
"Baked Alaska","Joe Rogan",23
"Baked Alaska","Jordan Peterson",13
"Baked Alaska","Kraut and Tea",18
"Baked Alaska","Lauren Southern",20
"Baked Alaska","Mark Collett",20
"Baked Alaska","Michael Knowles",2
"Baked Alaska","Mike Cernovich",15
"Baked Alaska","Millennial Woes",45
"Baked Alaska","Milo Yiannopoulos",63
"Baked Alaska","Mister Metokur",41
"Baked Alaska","Mouthy Buddha",21
"Baked Alaska","Mundane Matt",39
"Baked Alaska","Nicholas Fuentes",41
"Baked Alaska","No Bullshit",25
"Baked Alaska","Owen Benjamin",24
"Baked Alaska","Paul Joseph Watson",23
"Baked Alaska","Roaming Millenial",20
"Baked Alaska","Sargon of Akkad",59
"Baked Alaska","Some Black Guy",24
"Baked Alaska","Stefan Molyneaux",43
