"id","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"xtZffyWiCN8","189649","10311","339","0","4408"
"dtOp9jsQcqE","51009","801","16","0","128"
"UVoQVKXItMg","592268","15590","1029","0","12474"
"Yp7lJ_6T1VQ","88630","5841","136","0","2158"
"XZkumsoVrvk","197536","16482","629","0","9980"
"yiElhMbVUNA","27068","2609","37","0","966"
"IPnhk9NePf8","29563","4781","45","0","1460"
"zlGYkDmT0kM","23344","1629","40","0","284"
"62TH_FwVQvc","37664","3669","62","0","1712"
"4xP9TjNj9C8","327916","20332","1000","0","10769"
"4s7GiGk23Qc","77598","5485","114","0","1414"
"-Dvo6nOU1P4","18360","1761","32","0","467"
"61bTDzuIpLE","65285","7977","165","0","3331"
"W0WqIBtQfc8","27481","1800","36","0","340"
"CFwckUOZBGE","62629","7354","188","0","3755"
"oemFQLKtvx4","227564","14736","851","0","6659"
"HD1Y2_jFlHc","43732","4463","108","0","1313"
"2maJGAZag3s","117368","12368","287","0","4253"
"NlIVV7Z2Ay0","25036","2374","48","0","894"
"XC3HM4GeGVA","18389","2186","38","0","719"
"DN3pEOjJ5J4","17872","1351","53","0","361"
"QZD9REEWYzo","80628","6074","124","0","3458"
"QH5wUpw3kfQ","66597","5550","93","0","1197"
"JnJxw1PJi8k","27730","2366","65","0","1589"
"Ih_9UxMQZFA","24270","2356","113","0","1167"
"CnRs01KPHkY","105316","8572","258","0","3920"
"YJk7iWuVDQI","9503","659","12","0","104"
"SLkDYkJbTDo","110499","5781","169","0","4538"
"bgu5whM65_I","10771","836","15","0","241"
"RUgiNe-b0AI","94622","7152","118","0","3061"
"4wJLgktb5wY","34612","2739","51","0","687"
"Y-MSKV3am00","80264","6774","370","0","2586"
"GEtApcdkh9I","12530","1370","18","0","432"
"VuzQY1klxzo","46395","1468","68","0","718"
"aJlV1E2n_jM","67494","7043","240","0","3305"
"ypt1V7moRaY","11476","1205","35","0","353"
"MjAYoJRVA20","27378","3160","164","0","1369"
"xJMW9nsQArU","8968","777","11","0","379"
"wTSZKCMApRo","19800","1771","51","0","648"
"fKKcSXQB-YE","178529","11320","400","0","4870"
"QQkXru-NUH8","7843","612","11","0","65"
"IyMFsWDKOa8","40414","2355","112","0","677"
"1kfSwNFLh0w","8850","479","17","0","123"
"sDD15tXH4IQ","25023","2208","58","0","792"
"ORNzPZ9uEUE","78048","5588","141","0","1811"
"CAS1LzCEfXg","16352","1612","47","0","697"
"hFx4EqJ9glE","40562","568","6","0","199"
"5D8tsVY1bVY","32185","4652","99","0","1480"
"srISELz3fSQ","58028","3551","95","0","721"
"lFLbtkJ2hyw","106338","7861","419","0","3575"
"PxmB9bET6s4","21348","1707","57","0","640"
"sr9fIaOlBlI","27819","2601","61","0","1962"
"l1zjIdvOEuo","36637","2497","103","0","1170"
"TjIORAjYWng","123998","10184","190","0","7664"
"e-31Tu50egA","16489","1380","27","0","460"
"HgmXDbsd-fQ","338215","16200","954","0","8733"
"5KgrWnZDTmo","84393","5480","173","0","3300"
"TINGA1paaug","10739","873","34","0","215"
"odLn3J_jtao","49592","4604","114","0","2244"
